Field of View,Cell ID,X,Y
6,861,1098.02,1313.20
6,862,1063.84,1704.10
6,863,1048.92,1289.40
6,864,1052.81,1584.10
6,865,1022.00,1437.40
6,866,1000.50,1696.20
6,867,985.20,1588.40
6,868,977.60,1390.70
6,869,965.50,1784.90
6,870,942.10,1093.30
6,871,939.50,637.47
6,872,929.30,1709.90
6,873,929.00,1789.00
6,874,920.50,1631.60
6,875,889.70,1344.00
6,876,877.50,1013.40
6,877,880.60,1551.30
6,878,861.20,1444.50
6,879,813.70,1282.90
6,880,803.80,653.02
6,881,790.90,504.95
6,882,760.50,583.82
6,883,648.80,1425.50
6,884,613.30,1295.10
6,885,559.90,1278.70
6,886,552.30,1368.50
6,887,453.10,605.14
6,888,409.40,1755.50
6,889,338.20,490.23
6,890,1688.13,1034.80
6,891,1665.50,1105.10
6,892,1666.79,1257.80
6,893,1647.67,1386.30
6,894,1517.07,1322.60
6,895,1512.43,1494.60
6,896,1467.58,1247.10
6,897,1337.78,1652.90
6,898,1293.63,1557.50
6,899,1262.67,836.96
6,900,1279.91,1013.10
6,901,1184.92,870.32
6,902,1124.60,837.08
6,903,1111.86,660.76
6,904,1060.73,919.96
6,905,1009.10,1808.30
6,906,965.30,759.10
6,907,871.00,809.31
6,908,848.20,1136.20
6,909,637.70,1505.30
6,910,617.50,1344.30
6,911,592.80,1409.30
6,912,379.50,389.93
6,913,374.70,447.85
