"V1" "V2" "V3"
"24096" 420 1525 67
"25579" 1665 1317 83
"21585" 1082 968 60
"22356" 1075 481 62
"117" 173 1235 8
"18251" 1347 1407 56
"5538" 24 936 28
"19709" 1179 818 61
"17865" 1284 1517 50
"22893" 114 918 64
"6082" 772 296 25
"18608" 1255 635 52
"29479" 81 1076 81
"14093" 309 1024 46
"19967" 808 1095 56
"918" 454 628 7
"21545" 947 1312 60
"6025" 594 322 31
"16064" 181 350 46
"27141" 219 321 81
"1349" 412 1444 11
"20873" 1413 1013 63
"12206" 289 85 36
"15707" 208 812 45
"17324" 659 708 50
"14373" 1358 1018 46
"29741" 1128 581 81
"19701" 1160 54 55
"26805" 470 748 81
"16388" 1505 661 46
"469" 334 146 9
"11511" 807 649 44
"18851" 734 657 58
"14909" 405 839 43
"27531" 308 519 88
"30560" 1310 323 90
"11760" 51 574 43
"16678" 1161 660 52
"11583" 993 1091 41
"25908" 1375 477 77
"17493" 1303 583 60
"24980" 814 202 69
"14211" 850 434 41
"22814" 1280 985 63
"3861" 991 1042 21
"15253" 105 415 44
"15112" 1090 254 48
"22336" 1020 522 73
"1195" 812 146 11
"10579" 42 15 38
"9488" 609 926 34
"13372" 426 1337 40
"12779" 1170 670 43
"26349" 189 204 80
"16125" 434 1472 52
"5452" 1201 643 18
"6220" 1193 140 21
"14940" 530 714 49
"17278" 508 960 56
"26861" 705 1359 82
"27565" 458 100 82
"9271" 1184 353 31
"20422" 1073 623 57
"17959" 130 730 52
"2046" 708 1160 9
"2668" 601 995 19
"17927" 1679 1299 50
"20650" 525 1028 62
"114" 167 963 7
"565" 84 996 7
"13839" 838 888 46
"21984" 1117 797 63
"20140" 1462 1432 69
"19826" 102 1202 59
"7755" 1249 1052 24
"15144" 1200 32 44
"2749" 919 422 12
"20884" 1495 1241 58
"32536" 33 1051 91
"18759" 443 351 59
"597" 339 782 13
"28759" 433 885 84
